"LINK";"provincia_id";"departamento_id";"clae2";"letra";"Cantidad_trabajadores";"Cantidad_trabajadores_Hombres";"Cantidad_trabajadores_Mujeres";"Remuneracion_media";"Remuneracion_media_Hombres";"Remuneracion_media_Mujeres";"Remuneracion_mediana";"Remuneracion_mediana_Hombres";"Remuneracion_mediana_Mujeres";"Poblacion_radio";"Viviendas_radio"
"063290315";6;6329;41;"F";1;1;NA;54598,95;54598,95;NA;54598,95;54598,95;NA;968;294
"063290315";6;6329;46;"G";1;1;NA;78150,08;78150,08;NA;78150,08;78150,08;NA;968;294
"063290315";6;6329;47;"G";9;5;4;96508,8244444444;120674,998;66301,1075;83844,52;92267,27;55265,745;968;294
"063290315";6;6329;49;"H";5;1;4;56837,998;11916,46;68068,3825;30000;11916,46;63020,125;968;294
"063290315";6;6329;52;"H";2;2;NA;129736,76;129736,76;NA;129736,76;129736,76;NA;968;294
"063290315";6;6329;61;"J";1;1;NA;137725;137725;NA;137725;137725;NA;968;294
"063290315";6;6329;62;"J";2;2;NA;158783,345;158783,345;NA;158783,345;158783,345;NA;968;294
"063290315";6;6329;64;"K";1;1;NA;248804,78;248804,78;NA;248804,78;248804,78;NA;968;294
"063290315";6;6329;65;"K";1;1;NA;70754,06;70754,06;NA;70754,06;70754,06;NA;968;294
"063290315";6;6329;68;"L";1;1;NA;77101,3;77101,3;NA;77101,3;77101,3;NA;968;294
"063290315";6;6329;69;"M";1;NA;1;93087,91;NA;93087,91;93087,91;NA;93087,91;968;294
"063290315";6;6329;71;"M";1;NA;1;8660,38;NA;8660,38;8660,38;NA;8660,38;968;294
"063290315";6;6329;80;"N";1;1;NA;87628,08;87628,08;NA;87628,08;87628,08;NA;968;294
"063290315";6;6329;81;"N";1;NA;1;72283,26;NA;72283,26;72283,26;NA;72283,26;968;294
"063290315";6;6329;82;"N";1;NA;1;41957,34;NA;41957,34;41957,34;NA;41957,34;968;294
"063290315";6;6329;84;"O";43;15;28;96191,5;92819,318;97998,0260714286;85397,67;87083,75;72867,55;968;294
"063290315";6;6329;85;"P";28;6;22;155739,235;181371,18;148748,704545455;136613,45;169913,92;123118,28;968;294
"063290315";6;6329;86;"Q";3;1;2;84383,2633333333;118673;67238,395;95911,14;118673;67238,395;968;294
"063290315";6;6329;90;"R";1;1;NA;113857,88;113857,88;NA;113857,88;113857,88;NA;968;294
"063290315";6;6329;94;"S";2;2;NA;110995,205;110995,205;NA;110995,205;110995,205;NA;968;294
"063290316";6;6329;1;"A";8;7;1;63143,03;63670,6057142857;59450;61774,7;62549,6;59450;918;264
"063290316";6;6329;10;"C";25;19;6;89289,7236;89867,6078947369;87459,7566666667;94411,89;94411,89;85993,395;918;264
"063290316";6;6329;13;"C";1;1;NA;70717,54;70717,54;NA;70717,54;70717,54;NA;918;264
"063290316";6;6329;20;"C";1;1;NA;158469,81;158469,81;NA;158469,81;158469,81;NA;918;264
"063290316";6;6329;21;"C";1;1;NA;223395,3;223395,3;NA;223395,3;223395,3;NA;918;264
"063290316";6;6329;24;"C";3;3;NA;60094,9033333333;60094,9033333333;NA;61200,77;61200,77;NA;918;264
"063290316";6;6329;25;"C";1;1;NA;81865,4;81865,4;NA;81865,4;81865,4;NA;918;264
"063290316";6;6329;30;"C";1;NA;1;36313,74;NA;36313,74;36313,74;NA;36313,74;918;264
"063290316";6;6329;35;"D";1;1;NA;98664;98664;NA;98664;98664;NA;918;264
"063290316";6;6329;42;"F";2;2;NA;38985,77;38985,77;NA;38985,77;38985,77;NA;918;264
"063290316";6;6329;43;"F";1;1;NA;44742,72;44742,72;NA;44742,72;44742,72;NA;918;264
"063290316";6;6329;47;"G";2;1;1;90901,8;147642,37;34161,23;90901,8;147642,37;34161,23;918;264
"063290316";6;6329;49;"H";3;3;NA;131757,24;131757,24;NA;139427,66;139427,66;NA;918;264
"063290316";6;6329;52;"H";1;NA;1;122601,12;NA;122601,12;122601,12;NA;122601,12;918;264
"063290316";6;6329;65;"K";1;1;NA;5286,7;5286,7;NA;5286,7;5286,7;NA;918;264
"063290316";6;6329;70;"M";1;1;NA;47502,71;47502,71;NA;47502,71;47502,71;NA;918;264
"063290316";6;6329;80;"N";1;1;NA;8305,2;8305,2;NA;8305,2;8305,2;NA;918;264
"063290316";6;6329;84;"O";35;15;20;74858,6288571429;79869,1306666667;71100,7525;61084,11;39975,25;61882,84;918;264
"063290316";6;6329;85;"P";16;2;14;128144,720625;125958,375;128457,055714286;118667,19;125958,375;118667,19;918;264
"063290316";6;6329;94;"S";2;NA;2;170861,98;NA;170861,98;170861,98;NA;170861,98;918;264
"063290317";6;6329;10;"C";7;5;2;109201,888571429;88360,882;161304,405;97066,26;77366,73;161304,405;498;147
"063290317";6;6329;24;"C";1;1;NA;57610,17;57610,17;NA;57610,17;57610,17;NA;498;147
"063290317";6;6329;47;"G";2;1;1;132089,105;144759,61;119418,6;132089,105;144759,61;119418,6;498;147
"063290317";6;6329;49;"H";1;1;NA;102603,96;102603,96;NA;102603,96;102603,96;NA;498;147
"063290317";6;6329;55;"I";1;1;NA;87502,42;87502,42;NA;87502,42;87502,42;NA;498;147
"063290317";6;6329;62;"J";1;NA;1;86103,04;NA;86103,04;86103,04;NA;86103,04;498;147
"063290317";6;6329;84;"O";12;6;6;52368,6091666667;46557,7933333333;58179,425;36834,975;33437,27;46897,54;498;147
"063290317";6;6329;85;"P";2;NA;2;127249,94;NA;127249,94;127249,94;NA;127249,94;498;147
"063290317";6;6329;94;"S";1;NA;1;119240,94;NA;119240,94;119240,94;NA;119240,94;498;147
"063290402";6;6329;1;"A";10;10;NA;68249,166;68249,166;NA;72440,99;72440,99;NA;219;72
"063290402";6;6329;10;"C";4;3;1;74989,0225;81356,05;55887,94;78280,525;81551,39;55887,94;219;72
"063290402";6;6329;11;"C";1;1;NA;89733;89733;NA;89733;89733;NA;219;72
"063290402";6;6329;17;"C";1;1;NA;126989,51;126989,51;NA;126989,51;126989,51;NA;219;72
"063290402";6;6329;31;"C";1;1;NA;24871,6;24871,6;NA;24871,6;24871,6;NA;219;72
"063290402";6;6329;42;"F";1;1;NA;22276,25;22276,25;NA;22276,25;22276,25;NA;219;72
"063290402";6;6329;46;"G";4;4;NA;78052,965;78052,965;NA;76722,255;76722,255;NA;219;72
"063290402";6;6329;47;"G";1;NA;1;31681,79;NA;31681,79;31681,79;NA;31681,79;219;72
"063290402";6;6329;81;"N";1;1;NA;52977,09;52977,09;NA;52977,09;52977,09;NA;219;72
"063290402";6;6329;84;"O";6;3;3;87050,21;101661,666666667;72438,7533333333;91130,015;101440,58;89977,58;219;72
"063290402";6;6329;85;"P";2;NA;2;83430,575;NA;83430,575;83430,575;NA;83430,575;219;72
